date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:33	13040/13040	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202020%2011:12:33%20GMT	https://www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760	C:/My%20Web%20Sites/Walmart%20Offer/www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760.html	(from )
17:12:34	43/43	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202020%2011:12:35%20GMT	https://www.landpage.co/robots.txt		(from )
17:12:34	77961/77961	---MCZ	200	added ('OK')	text/css	etag:W/%2246ec76433739ed16a2a496b443838cf0%22	https://styles.assets-landingi.com/assets/css/2.11-landend-base.css	C:/My%20Web%20Sites/Walmart%20Offer/styles.assets-landingi.com/assets/css/2.11-landend-base.css	(from https://www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760)
17:12:35	47074/47074	---MCZ	200	added ('OK')	text/css	etag:W/%22bc193639cae61d36933c3b20ed12f5be%22	https://styles.assets-landingi.com/W5vQJovp/base.css	C:/My%20Web%20Sites/Walmart%20Offer/styles.assets-landingi.com/W5vQJovp/base.css	(from https://www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760)
17:12:35	11588/11588	---MCZ	200	added ('OK')	application/javascript	etag:W/%2230fbb855965d765fdfaf527eeccaef9b%22	https://scripts.assets-landingi.com/lightboxes/lightbox-render.js?v=1595237822	C:/My%20Web%20Sites/Walmart%20Offer/scripts.assets-landingi.com/lightboxes/lightbox-render063f.js	(from https://www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760)
17:12:36	1119/1119	---M--	200	added ('OK')	image/jpeg	etag:%22e23aa55c7ecfa7d2199d5daf5c3d1bf6%22	https://images.assets-landingi.com/AynMO607aGlQ3dSd/Walmart1_Logo_scaled.jpg	C:/My%20Web%20Sites/Walmart%20Offer/images.assets-landingi.com/AynMO607aGlQ3dSd/Walmart1_Logo_scaled.jpg	(from https://www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760)
17:12:36	25386/25386	---M--	200	added ('OK')	image/jpeg	etag:%22c4bf2cbfe941b90c9d8ce12a2b8c6e49%22	https://images.assets-landingi.com/cjQUusgx8ltD8Nzf/bg_mobile.jpg	C:/My%20Web%20Sites/Walmart%20Offer/images.assets-landingi.com/cjQUusgx8ltD8Nzf/bg_mobile.jpg	(from https://www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760)
17:12:37	133/133	---M--	302	error ('Found')	text/html	date:Tue,%2021%20Jul%202020%2011:12:38%20GMT	https://www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760/button/wolfAuEX28rQxMXAvO09amhaKtUGS1z0	C:/My%20Web%20Sites/Walmart%20Offer/www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760/button/wolfAuEX28rQxMXAvO09amhaKtUGS1z0.6.delayed	(from https://www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760)
17:12:37	8057/8057	---M--	200	added ('OK')	image/png	etag:%224ee2f13246e710ab8645c7b0e21997e6%22	https://images.assets-landingi.com/m3UTPrDSdyi1siuP/Capture.PNG	C:/My%20Web%20Sites/Walmart%20Offer/images.assets-landingi.com/m3UTPrDSdyi1siuP/Capture.png	(from https://www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760)
17:12:38	16834/16834	---M--	200	added ('OK')	image/png	etag:%2264843f7c7e04485f51bdb40c561301ac%22	https://images.assets-landingi.com/fMPy8fNBzpM1GWbm/3.png	C:/My%20Web%20Sites/Walmart%20Offer/images.assets-landingi.com/fMPy8fNBzpM1GWbm/3.png	(from https://www.landpage.co/de1ffc08-cacd-11ea-91bf-8ee514422760)
